Position,True/False/Remove
1,Remove
2,Remove
3,Remove
4,Remove
5,Remove
6,Remove
7,Remove
8,Remove
9,Remove
10,Remove
11,Remove
12,Remove
13,Remove
14,Remove
15,Remove
16,Remove
17,Remove
18,Remove
19,Remove
20,Remove
21,Remove
22,Remove
23,Remove
24,Remove
25,Remove
26,Remove
27,Remove
28,Remove
29,Remove
30,Remove
31,Remove
32,Remove
33,Remove
34,Remove
35,Remove
36,Remove
37,Remove
38,Remove
39,Remove
40,Remove
41,Remove
42,Remove
43,Remove
44,Remove
45,Remove
46,Remove
47,Remove
48,Remove
49,Remove
50,Remove
51,Remove
52,Remove
53,Remove
54,Remove
55,Remove
56,Remove
57,Remove
58,Remove
59,Remove
60,Remove
61,Remove
62,Remove
63,Remove
64,Remove
65,Remove
66,Remove
67,Remove
68,Remove
69,Remove
70,Remove
71,Remove
72,Remove
73,Remove
74,Remove
75,Remove
76,Remove
77,Remove
78,Remove
79,Remove
80,Remove
81,Remove
82,Remove
83,Remove
84,Remove
85,Remove
86,Remove
87,Remove
88,Remove
89,Remove
90,Remove
91,Remove
92,Remove
93,Remove
94,Remove
95,Remove
96,Remove
97,Remove
98,Remove
99,Remove
100,Remove
101,Remove
102,Remove
103,Remove
104,Remove
105,Remove
106,Remove
107,Remove
108,Remove
109,Remove
110,Remove
111,Remove
112,Remove
113,Remove
114,Remove
115,Remove
116,Remove
117,Remove
118,Remove
119,Remove
120,Remove
121,Remove
122,Remove
123,Remove
124,Remove
125,Remove
126,Remove
127,Remove
128,Remove
129,Remove
130,Remove
131,Remove
132,Remove
133,Remove
134,Remove
135,Remove
136,Remove
137,Remove
138,Remove
139,Remove
140,Remove
141,Remove
142,Remove
143,Remove
144,Remove
145,Remove
146,Remove
147,Remove
148,Remove
149,Remove
150,Remove
151,Remove
152,Remove
153,Remove
154,Remove
155,Remove
156,Remove
157,Remove
158,Remove
159,Remove
160,Remove
161,Remove
162,Remove
163,Remove
164,Remove
165,Remove
166,Remove
167,Remove
168,Remove
169,Remove
170,Remove
171,Remove
172,Remove
173,Remove
174,Remove
175,Remove
176,Remove
177,Remove
178,Remove
179,Remove
180,Remove
181,Remove
182,Remove
183,Remove
184,Remove
185,Remove
186,Remove
187,Remove
188,Remove
189,Remove
190,Remove
191,Remove
192,Remove
193,Remove
194,Remove
195,Remove
196,Remove
197,Remove
198,Remove
199,Remove
200,Remove
201,Remove
202,Remove
203,Remove
204,Remove
205,Remove
206,Remove
207,Remove
208,Remove
209,Remove
210,Remove
211,Remove
212,Remove
213,Remove
214,Remove
215,Remove
216,Remove
217,Remove
218,Remove
219,Remove
220,Remove
221,Remove
222,Remove
223,Remove
224,Remove
225,Remove
226,Remove
227,Remove
228,Remove
229,Remove
230,Remove
231,Remove
232,Remove
233,Remove
234,Remove
235,Remove
236,Remove
237,Remove
238,Remove
239,Remove
240,Remove
241,Remove
242,Remove
243,Remove
244,Remove
245,Remove
246,Remove
247,Remove
248,Remove
249,Remove
250,Remove
251,Remove
252,Remove
253,Remove
254,Remove
255,Remove
256,Remove
257,Remove
258,Remove
259,Remove
260,Remove
261,Remove
262,Remove
263,Remove
264,Remove
265,Remove
266,Remove
267,Remove
268,Remove
269,Remove
270,Remove
271,Remove
272,Remove
273,Remove
274,Remove
275,Remove
276,Remove
277,Remove
278,Remove
279,Remove
280,Remove
281,Remove
282,Remove
283,Remove
284,Remove
285,Remove
286,Remove
287,Remove
288,Remove
289,Remove
290,Remove
291,Remove
292,Remove
293,Remove
294,Remove
295,Remove
296,Remove
297,Remove
298,Remove
299,Remove
