REGION	POS	REF	ALT	REF_DP_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_a.masked.tsv	REF_RV_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_a.masked.tsv	REF_QUAL_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_a.masked.tsv	ALT_DP_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_a.masked.tsv	ALT_RV_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_a.masked.tsv	ALT_QUAL_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_a.masked.tsv	ALT_FREQ_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_a.masked.tsv	TOTAL_DP_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_a.masked.tsv	PVAL_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_a.masked.tsv	PASS_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_a.masked.tsv	REF_DP_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_b.masked.tsv	REF_RV_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_b.masked.tsv	REF_QUAL_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_b.masked.tsv	ALT_DP_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_b.masked.tsv	ALT_RV_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_b.masked.tsv	ALT_QUAL_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_b.masked.tsv	ALT_FREQ_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_b.masked.tsv	TOTAL_DP_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_b.masked.tsv	PVAL_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_b.masked.tsv	PASS_/home/gk/analysis/2018.11.21.1542865383.ZI.invivo/masked_variants/ZI-06_b.masked.tsv	
PRVABC59	90	C	+A	6015	0	38	1125	0	20	0.186908	6019	8.07626e-235	TRUE	6718	0	38	1411	0	20	0.209908	6722	1.7078e-299	TRUE	
PRVABC59	298	G	+A	5182	5182	38	203	0	20	0.0382802	5303	4.0283e-22	TRUE	5900	5900	38	237	0	20	0.0391671	6051	2.36473e-26	TRUE	
PRVABC59	377	G	-AGAAGA	24442	6104	38	2761	0	20	0.112952	24444	0	TRUE	32459	7042	38	4052	0	20	0.124811	32465	0	TRUE	
PRVABC59	400	T	C	20543	5482	38	3786	786	38	0.15561	24330	0	TRUE	27464	6261	38	4783	929	38	0.148319	32248	0	TRUE	
PRVABC59	694	C	+A	33216	23543	38	2444	0	20	0.0730184	33471	0	TRUE	42515	33365	38	3643	0	20	0.0845852	43069	0	TRUE	
PRVABC59	1893	C	T	17451	1657	38	1028	67	38	0.0556247	18481	2.73254e-283	TRUE	21969	1235	38	1455	67	38	0.0621025	23429	0	TRUE	
PRVABC59	1937	T	G	15217	1639	37	2216	12	38	0.127101	17435	0	TRUE	19480	1227	37	2493	7	38	0.113452	21974	0	TRUE	
PRVABC59	2739	T	C	4086	4081	37	137	137	37	0.0324414	4223	2.05665e-36	TRUE	4106	4104	37	151	151	37	0.035471	4257	1.46513e-40	TRUE	
PRVABC59	2753	T	G	8867	4057	38	759	422	38	0.078808	9631	3.40338e-218	TRUE	7701	4071	38	837	418	38	0.0979864	8542	1.50214e-245	TRUE	
PRVABC59	2894	C	T	3447	1	38	114	0	37	0.0320045	3562	6.7204e-31	TRUE	2497	0	37	126	0	37	0.0480183	2624	5.46649e-36	TRUE	
PRVABC59	3120	T	C	2376	1109	38	11558	7363	38	0.829482	13934	0	TRUE	2441	961	38	8105	3318	38	0.768465	10547	0	TRUE	
PRVABC59	5652	C	T	1776	1019	37	83	54	37	0.0446477	1859	1.80142e-24	TRUE	1792	964	37	56	23	37	0.0302866	1849	2.67547e-16	TRUE	
PRVABC59	7888	C	T	2182	1809	38	7355	6120	38	0.771207	9537	0	TRUE	1096	903	38	7455	6408	38	0.870606	8563	0	TRUE	
PRVABC59	8827	C	T	9830	3085	38	400	121	38	0.0390969	10231	2.91972e-106	TRUE	10140	2223	38	565	76	38	0.0527741	10706	5.16644e-156	TRUE	
